,Inflation_Rank,Title,Adj. Domestic Lifetime Gross,Domestic Lifetime Gross,Est. Num Tickets,Year,Worldwide_Rank,Worldwide Lifetime Gross, Domestic % ,Foreign Lifetime Gross, Foreign % 
137,128,Shrek,"$443,112,922 ","$268,163,011 ","47,290,600",2001,229,"$487,853,320",0.55,"$220,188,309",0.45
138,129,Shrek The Third,"$439,518,590 ","$322,719,944 ","46,907,000",2007,89,"$813,367,380",0.4,"$490,647,436",0.6
139,130,Despicable Me 2,"$439,397,717 ","$368,065,385 ","46,894,100",2013,51,"$970,766,005",0.38,"$602,700,620",0.62
140,131,Captain America Civil War,"$438,096,224 ","$408,084,349 ","46,755,200",2016,23,"$1,153,337,496",0.35,"$745,253,147",0.65
141,132,The Matrix Reloaded,"$437,540,583 ","$281,576,461 ","46,695,900",2003,116,"$741,847,937",0.38,"$460,271,476",0.62
142,133,Transformers,"$434,787,677 ","$319,246,193 ","46,402,100",2007,125,"$709,709,780",0.45,"$390,463,587",0.55
143,134,Crocodile Dundee,"$432,917,425 ","$174,803,506 ","46,202,500",1986,452,"$328,203,506",0.53,"$153,400,000",0.47
144,135,Wonder Woman,"$432,354,288 ","$412,845,172 ","46,142,400",2017,85,"$822,824,522",0.5,"$410,009,114",0.5
145,136,Jurassic World Fallen Kingdom,"$430,497,154 ","$417,719,760 ","45,944,200",2018,16,"$1,310,466,296",0.32,"$892,746,536",0.68
146,137,The Four Horsemen Of The Apocalypse,"$430,255,408 ","$9,183,673 ","45,918,400",1921,0,$nan,,$nan,
147,138,Saving Private Ryan,"$429,179,732 ","$217,049,603 ","45,803,600",1998,235,"$482,349,603",0.45,"$265,300,000",0.55
148,139,Young Frankenstein,"$427,715,201 ","$86,273,333 ","45,647,300",1974,0,$nan,,$nan,
149,140,Peter Pan,"$427,492,195 ","$87,404,651 ","45,623,500",1953,0,$nan,,$nan,
150,141,Gremlins,"$426,463,369 ","$153,642,180 ","45,513,700",1984,0,$nan,,$nan,
151,142,Harry Potter And The Goblet Of Fire,"$425,336,158 ","$290,469,928 ","45,393,400",2005,65,"$896,678,241",0.32,"$606,260,336",0.68
152,144,The Chronicles Of Narnia The Lion The Witch And The Wardrobe,"$423,300,994 ","$291,710,957 ","45,176,200",2005,114,"$745,013,115",0.39,"$453,302,158",0.61
153,145,Harry Potter And The Chamber Of Secrets,"$422,965,548 ","$262,641,637 ","45,140,400",2002,70,"$879,602,366",0.3,"$617,152,230",0.7
154,146,Pirates Of The Caribbean At WorldS End,"$421,405,443 ","$309,420,425 ","44,973,900",2007,55,"$960,996,492",0.32,"$651,576,067",0.68
155,147,The Fugitive,"$416,002,701 ","$183,875,760 ","44,397,300",1993,368,"$368,875,760",0.5,"$185,000,000",0.5
156,148,Iron Man,"$415,951,166 ","$319,034,126 ","44,391,800",2008,174,"$585,796,247",0.54,"$266,762,121",0.46
157,149,The Caine Mutiny,"$415,913,686 ","$21,750,000 ","44,387,800",1954,0,$nan,,$nan,
158,150,Transformers Dark Of The Moon,"$414,724,633 ","$352,390,543 ","44,260,900",2011,28,"$1,123,794,079",0.31,"$771,403,536",0.69
159,151,Meet The Fockers,"$413,901,010 ","$279,261,160 ","44,173,000",2004,211,"$522,657,936",0.53,"$243,396,776",0.47
160,152,Indiana Jones And The Kingdom Of The Crystal Skull,"$413,821,365 ","$317,101,119 ","44,164,500",2008,97,"$790,653,942",0.4,"$473,552,823",0.6
161,153,Jumanji Welcome To The Jungle,"$413,515,903 ","$404,540,171 ","44,131,900",2017,53,"$962,542,945",0.42,"$558,002,774",0.58
162,154,2001 A Space Odyssey,"$409,683,573 ","$60,481,243 ","43,722,900",1968,0,$nan,,$nan,
163,155,Dances With Wolves,"$409,462,441 ","$184,208,848 ","43,699,300",1990,295,"$424,208,848",0.43,"$240,000,000",0.57
164,156,An Officer And A Gentleman,"$409,065,153 ","$129,795,554 ","43,656,900",1982,0,$nan,,$nan,
165,157,Guardians Of The Galaxy Vol 2,"$408,124,405 ","$389,813,101 ","43,556,500",2017,77,"$863,756,051",0.45,"$473,942,950",0.55
166,158,SpiderMan Far From Home,"$406,098,611 ","$390,532,085 ","43,340,300",2019,26,"$1,131,927,996",0.35,"$741,395,911",0.65
167,159,Rain Man,"$405,643,229 ","$172,825,435 ","43,291,700",1988,397,"$354,825,435",0.49,"$182,000,000",0.51
168,160,The Secret Life Of Pets,"$405,475,506 ","$368,384,330 ","43,273,800",2016,72,"$875,458,631",0.42,"$507,074,301",0.58
169,161,Guess WhoS Coming To Dinner,"$405,318,090 ","$56,666,667 ","43,257,000",1967,0,$nan,,$nan,
170,162,American Sniper,"$403,659,600 ","$350,159,020 ","43,080,000",2014,190,"$547,426,372",0.64,"$197,300,000",0.36
171,163,Kramer Vs Kramer,"$403,099,274 ","$106,260,000 ","43,020,200",1979,0,$nan,,$nan,
