Title,Year,Inflation_Rank,Adj. Domestic Lifetime Gross,Est. Num Tickets,Worldwide Rank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Production Budget
Jurassic World Fallen Kingdom,2018,136,"$430,497,154 ","45,944,200",16,"$1,310,466,296","$417,719,760 ",32.0,"$892,746,536",68.0,$nan
The Four Horsemen Of The Apocalypse,1921,137,"$430,255,408 ","45,918,400",,,"$9,183,673 ",,,,$nan
Saving Private Ryan,1998,138,"$429,179,732 ","45,803,600",235,"$482,349,603","$217,049,603 ",45.0,"$265,300,000",55.00000000000001,"$65,000,000"
Young Frankenstein,1974,139,"$427,715,201 ","45,647,300",,,"$86,273,333 ",,,,"$2,800,000"
Peter Pan,1953,140,"$427,492,195 ","45,623,500",,,"$87,404,651 ",,,,"$4,000,000"
Peter Pan,1953,140,"$427,492,195 ","45,623,500",,,"$87,404,651 ",,,,"$100,000,000"
Gremlins,1984,141,"$426,463,369 ","45,513,700",,,"$153,642,180 ",,,,"$11,000,000"
Harry Potter And The Goblet Of Fire,2005,142,"$425,336,158 ","45,393,400",65,"$896,678,241","$290,469,928 ",32.0,"$606,260,336",68.0,$nan
The Chronicles Of Narnia The Lion The Witch And The Wardrobe,2005,144,"$423,300,994 ","45,176,200",114,"$745,013,115","$291,710,957 ",39.0,"$453,302,158",61.0,$nan
Harry Potter And The Chamber Of Secrets,2002,145,"$422,965,548 ","45,140,400",70,"$879,602,366","$262,641,637 ",30.0,"$617,152,230",70.0,$nan
Pirates Of The Caribbean At WorldS End,2007,146,"$421,405,443 ","44,973,900",55,"$960,996,492","$309,420,425 ",32.0,"$651,576,067",68.0,$nan
The Fugitive,1993,147,"$416,002,701 ","44,397,300",368,"$368,875,760","$183,875,760 ",50.0,"$185,000,000",50.0,"$44,000,000"
Iron Man,2008,148,"$415,951,166 ","44,391,800",174,"$585,796,247","$319,034,126 ",54.0,"$266,762,121",46.0,"$186,000,000"
The Caine Mutiny,1954,149,"$415,913,686 ","44,387,800",,,"$21,750,000 ",,,,$nan
Transformers Dark Of The Moon,2011,150,"$414,724,633 ","44,260,900",28,"$1,123,794,079","$352,390,543 ",31.0,"$771,403,536",69.0,$nan
Meet The Fockers,2004,151,"$413,901,010 ","44,173,000",211,"$522,657,936","$279,261,160 ",53.0,"$243,396,776",47.0,$nan
Indiana Jones And The Kingdom Of The Crystal Skull,2008,152,"$413,821,365 ","44,164,500",97,"$790,653,942","$317,101,119 ",40.0,"$473,552,823",60.0,$nan
Jumanji Welcome To The Jungle,2017,153,"$413,515,903 ","44,131,900",53,"$962,542,945","$404,540,171 ",42.0,"$558,002,774",57.99999999999999,$nan
2001 A Space Odyssey,1968,154,"$409,683,573 ","43,722,900",,,"$60,481,243 ",,,,$nan
Dances With Wolves,1990,155,"$409,462,441 ","43,699,300",295,"$424,208,848","$184,208,848 ",43.0,"$240,000,000",56.99999999999999,$nan
An Officer And A Gentleman,1982,156,"$409,065,153 ","43,656,900",,,"$129,795,554 ",,,,$nan
Guardians Of The Galaxy Vol 2,2017,157,"$408,124,405 ","43,556,500",77,"$863,756,051","$389,813,101 ",45.0,"$473,942,950",55.00000000000001,$nan
SpiderMan Far From Home,2019,158,"$406,098,611 ","43,340,300",26,"$1,131,927,996","$390,532,085 ",35.0,"$741,395,911",65.0,$nan
Rain Man,1988,159,"$405,643,229 ","43,291,700",397,"$354,825,435","$172,825,435 ",49.0,"$182,000,000",51.0,"$25,000,000"
The Secret Life Of Pets,2016,160,"$405,475,506 ","43,273,800",72,"$875,458,631","$368,384,330 ",42.0,"$507,074,301",57.99999999999999,$nan
Guess WhoS Coming To Dinner,1967,161,"$405,318,090 ","43,257,000",,,"$56,666,667 ",,,,$nan
American Sniper,2014,162,"$403,659,600 ","43,080,000",190,"$547,426,372","$350,159,020 ",64.0,"$197,300,000",36.0,$nan
Kramer Vs Kramer,1979,163,"$403,099,274 ","43,020,200",,,"$106,260,000 ",,,,$nan
Armageddon,1998,164,"$402,726,348 ","42,980,400",187,"$553,709,788","$201,578,182 ",36.0,"$352,131,606",64.0,"$140,000,000"
Psycho,1960,165,"$399,786,979 ","42,666,700",,,"$32,000,000 ",,,,"$20,000,000"
Harry Potter And The Order Of The Phoenix,2007,166,"$399,669,854 ","42,654,200",58,"$942,172,396","$292,382,727 ",31.0,"$649,818,983",69.0,$nan
Inside Out,2015,167,"$398,811,562 ","42,562,600",78,"$858,848,019","$356,921,711 ",42.0,"$501,926,308",57.99999999999999,$nan
Rocky Iii,1982,168,"$398,348,684 ","42,513,200",,,"$125,049,125 ",,,,$nan
Rambo First Blood Part Ii,1985,169,"$397,011,585 ","42,370,500",514,"$300,400,432","$150,415,432 ",50.0,"$149,985,000",50.0,$nan
Batman Forever,1995,170,"$396,446,574 ","42,310,200",432,"$336,567,158","$184,069,126 ",55.00000000000001,"$152,498,032",45.0,"$100,000,000"
Deadpool,2016,171,"$396,285,410 ","42,293,000",101,"$782,836,791","$363,070,709 ",46.0,"$419,766,082",54.0,$nan
Pretty Woman,1990,172,"$395,192,868 ","42,176,400",254,"$463,406,268","$178,406,268 ",38.0,"$285,000,000",62.0,"$14,000,000"
Earthquake,1974,173,"$394,961,429 ","42,151,700",,,"$79,666,653 ",,,,$nan
Alice In Wonderland,2010,174,"$394,495,740 ","42,102,000",45,"$1,025,468,216","$334,191,110 ",33.0,"$691,277,106",67.0,$nan
The Incredibles,2004,175,"$393,821,100 ","42,030,000",151,"$631,607,053","$261,441,092 ",41.0,"$370,165,961",59.0,"$92,000,000"
Cast Away,2000,176,"$392,548,654 ","41,894,200",287,"$429,632,142","$233,632,142 ",54.0,"$196,000,000",46.0,"$85,000,000"
Home Alone 2 Lost In New York,1992,177,"$392,130,752 ","41,849,600",388,"$358,994,850","$173,585,516 ",48.0,"$185,409,334",52.0,$nan
Three Men And A Baby,1987,179,"$390,764,606 ","41,703,800",,,"$167,780,960 ",,,,$nan
My Big Fat Greek Wedding,2002,180,"$388,100,715 ","41,419,500",370,"$368,744,044","$241,438,208 ",65.0,"$127,305,836",35.0,"$5,000,000"
Guardians Of The Galaxy,2014,181,"$386,375,698 ","41,235,400",104,"$773,350,147","$333,718,600 ",43.0,"$439,631,547",56.99999999999999,$nan
Furious 7,2015,182,"$384,393,006 ","41,023,800",10,"$1,515,341,399","$353,007,020 ",23.0,"$1,162,334,379",77.0,$nan
Mission Impossible,1996,183,"$383,664,957 ","40,946,100",260,"$457,696,391","$180,981,856 ",40.0,"$276,714,535",60.0,$nan
The Hunger Games Mockingjay  Part 1,2014,184,"$381,611,053 ","40,726,900",,,"$337,135,885 ",,,,$nan
